colaborador,degree,degree_weighted,degree_centrality,betweenness,closeness,eigenvector,pagerank,clustering_local,grupo_comunidade
rbaezam,1,1,0.00036429872495446266,0.0,0.15151046195481332,0.0,0.00015719091658923873,0.0,9
hassandevelops,1,1,0.00036429872495446266,0.0,0.15151046195481332,0.0,0.00015719091658923873,0.0,9
roee1454,1,1,0.00036429872495446266,0.0,0.15151046195481332,0.0,0.00015719091658923873,0.0,9
donwalassjgod,1,1,0.00036429872495446266,0.0,0.15151046195481332,0.0,0.00015719091658923873,0.0,9
IT-ess,1,1,0.00036429872495446266,0.0,0.15151046195481332,0.0,0.00015719091658923873,0.0,9
andrebenedetti,1,1,0.00036429872495446266,0.0,0.15151046195481332,0.0,0.00015719091658923873,0.0,9
vinnyA3,1,1,0.00036429872495446266,0.0,0.1840824960338445,0.0,0.0001571236813168492,0.0,5
tomydng,1,1,0.00036429872495446266,0.0,0.1840824960338445,0.0,0.0001571236813168492,0.0,5
Ngquang,2,2,0.0007285974499089253,0.000708801140150012,0.2716258535722584,0.0,0.00015708766603014047,0.0,12
jkoestinger,2,2,0.0007285974499089253,2.1194000191121045e-05,0.21079878670761212,0.0,0.00015681483909567252,0.0,5
OswinWenlock,1,2,0.00036429872495446266,0.0,0.15738850328953977,0.0,0.00015678361678110126,0.0,3
Sgierek106,2,2,0.0007285974499089253,2.8758936339532986e-05,0.23593814954723732,0.0,0.00015677484515234247,0.0,2
nelsons-coder,1,1,0.00036429872495446266,0.0,0.12628852265526364,0.0,0.00015670675351699769,0.0,32
tpjwm,1,1,0.00036429872495446266,0.0,0.12628852265526364,0.0,0.00015670675351699769,0.0,32
tobi,2,2,0.0007285974499089253,0.00045077758139414574,0.26367705305186684,0.0,0.00015667456943638784,0.0,5
PaideiaDilemma,1,2,0.00036429872495446266,0.0,0.17083227911602789,0.0,0.0001566163865655762,0.0,1
vrajpat3ll,2,2,0.0007285974499089253,0.0,0.24424108994408705,0.0,0.00015653346448990773,0.043478260869565216,4
czlowiek488,2,2,0.0007285974499089253,0.0,0.24424108994408705,0.0,0.00015653346448990773,0.043478260869565216,4
jonwsoto,2,2,0.0007285974499089253,0.0,0.26367705305186684,0.0,0.00015646701186027955,0.043478260869565216,1
theajmalrazaq,2,2,0.0007285974499089253,0.00011398257848902096,0.27113829792758215,0.0,0.00015641308376486516,0.0,5
bryan-thompsoncodes,2,2,0.0007285974499089253,0.0003236384865347111,0.21799242951376324,0.0,0.00015614253865405762,0.0,8
LukasKorotaj,1,1,0.00036429872495446266,0.0,0.19203939722346178,0.0,0.0001560556339962666,0.0,2
efecege,1,1,0.00036429872495446266,0.0,0.19203939722346178,0.0,0.0001560556339962666,0.0,2
adam-zluva,1,1,0.00036429872495446266,0.0,0.19203939722346178,0.0,0.0001560556339962666,0.0,2
chuanjin,1,1,0.00036429872495446266,0.0,0.19203939722346178,0.0,0.0001560556339962666,0.0,2
maralcbr,1,1,0.00036429872495446266,0.0,0.19203939722346178,0.0,0.0001560556339962666,0.0,2
Sunny-esc,1,1,0.00036429872495446266,0.0,0.19203939722346178,0.0,0.0001560556339962666,0.0,2
diet-cola-pls,1,1,0.00036429872495446266,0.0,0.19203939722346178,0.0,0.0001560556339962666,0.0,2
Razcall,1,1,0.00036429872495446266,0.0,0.19203939722346178,0.0,0.0001560556339962666,0.0,2
klajo,1,1,0.00036429872495446266,0.0,0.19290495941046656,0.0,0.00015599583579347187,0.0,9
AstroGlade,1,1,0.00036429872495446266,0.0,0.19290495941046656,0.0,0.00015599583579347187,0.0,9
lucasew,1,1,0.00036429872495446266,0.0,0.19290495941046656,0.0,0.00015599583579347187,0.0,9
richoy,1,1,0.00036429872495446266,0.0,0.19290495941046656,0.0,0.00015599583579347187,0.0,9
EchoTD,1,1,0.00036429872495446266,0.0,0.19290495941046656,0.0,0.00015599583579347187,0.0,9
MehrabUd,1,1,0.00036429872495446266,0.0,0.19290495941046656,0.0,0.00015599583579347187,0.0,9
nvolker,1,1,0.00036429872495446266,0.0,0.19290495941046656,0.0,0.00015599583579347187,0.0,9
scostadavid,1,1,0.00036429872495446266,0.0,0.19290495941046656,0.0,0.00015599583579347187,0.0,9
natanschneider,1,1,0.00036429872495446266,0.0,0.19290495941046656,0.0,0.00015599583579347187,0.0,9
da-maltsev,2,2,0.0007285974499089253,4.448193943612316e-05,0.21528762740376686,0.0,0.0001559777745774346,0.0,3
apurbapokharel,2,2,0.0007285974499089253,0.0001349396638784418,0.23170177927205007,0.0,0.00015581180289859906,0.0,5
lajjne,2,2,0.0007285974499089253,0.0,0.27145357501819567,0.0,0.00015558294114614003,0.043478260869565216,24
AlwaysRead,2,2,0.0007285974499089253,0.0,0.26796940620600346,0.0,0.00015549595724589536,0.043478260869565216,5
tijoseymathew,2,2,0.0007285974499089253,0.0,0.26796940620600346,0.0,0.00015549595724589536,0.043478260869565216,5
mohimirza,2,2,0.0007285974499089253,0.0025960587654745215,0.22940421830195917,0.0,0.00015532084495062582,0.0,3
dkeysil,1,2,0.00036429872495446266,0.0,0.14909143170414138,0.0,0.00015522319316364135,0.0,1
wkoszek,2,2,0.0007285974499089253,0.0,0.27376874410150653,0.0,0.0001548611236239872,0.043478260869565216,2
breadpittunbreaded-stack,1,1,0.00036429872495446266,0.0,0.17369797210985735,0.0,0.00015471482591487043,0.0,8
markmcnaughton,1,1,0.00036429872495446266,0.0,0.15829074891648467,0.0,0.00015465840918569543,0.0,2
ryuhzk,2,2,0.0007285974499089253,3.032736662757105e-05,0.23184821412713352,0.0,0.00015463421020110366,0.0,8
harishkarthiktk,1,1,0.00036429872495446266,0.0,0.15952977695670814,0.0,0.00015460187252243286,0.0,19
fishkingsin,1,2,0.00036429872495446266,0.0,0.1613034434467419,0.0,0.0001546002101402977,0.0,7
sherif-fanous,1,2,0.00036429872495446266,0.0,0.1613034434467419,0.0,0.0001546002101402977,0.0,7
TusharSharma811,1,1,0.00036429872495446266,0.0,0.12918557297877709,0.0,0.00015448133690117112,0.0,28
JustJohny,1,1,0.00036429872495446266,0.0,0.12918557297877709,0.0,0.00015448133690117112,0.0,28
matyssxdxd,1,2,0.00036429872495446266,0.0,0.1627757872510225,0.0,0.00015442914193989954,0.0,6
michapietsch,2,2,0.0007285974499089253,6.0021595534437973e-05,0.20950891895832022,0.0,0.00015442712378235947,0.07900524316661475,7
joske,2,2,0.0007285974499089253,6.0021595534437973e-05,0.20950891895832022,0.0,0.00015442712378235947,0.07900524316661475,7
HANCORE-linux,1,2,0.00036429872495446266,0.0,0.17249619262928265,0.0,0.0001542073580742112,0.0,2
Britnell,2,2,0.0007285974499089253,0.00024053038522864396,0.2637853949329359,0.0,0.00015414704396011806,0.054779176082385785,5
ariejan,2,2,0.0007285974499089253,0.0005837226558616512,0.2644373205305459,0.0,0.00015402104458883635,0.07434678029029117,4
arslanbekov,1,1,0.00036429872495446266,0.0,0.1778852050202363,0.0,0.00015392981156616266,0.0,3
slinn-01,2,2,0.0007285974499089253,0.0009858648628764657,0.29231085027571213,0.0,0.00015389074738271968,0.09043842708921324,2
jhosdev,2,2,0.0007285974499089253,0.0009858648628764657,0.29231085027571213,0.0,0.00015389074738271968,0.09043842708921324,2
njkevlani,2,2,0.0007285974499089253,0.0009858648628764657,0.29231085027571213,0.0,0.00015389074738271968,0.09043842708921324,2
MadMax-067,2,2,0.0007285974499089253,0.0009858648628764657,0.29231085027571213,0.0,0.00015389074738271968,0.09043842708921324,2
Rovetown,2,2,0.0007285974499089253,0.0009858648628764657,0.29231085027571213,0.0,0.00015389074738271968,0.09043842708921324,2
pushcx,2,2,0.0007285974499089253,0.0009858648628764657,0.29231085027571213,0.0,0.00015389074738271968,0.09043842708921324,2
cairin,2,2,0.0007285974499089253,0.0009858648628764657,0.29231085027571213,0.0,0.00015389074738271968,0.09043842708921324,2
