colaborador,betweenness,degree,pagerank,grupo_comunidade,comunidades_conectadas
dhh,0.5446551275942876,802,0.09164317315859379,1,33
ryanrhughes,0.2882424963135196,351,0.030651629497560135,2,27
dharmavagabond,0.04504107931407189,73,0.005611081218930326,5,16
abenz1267,0.04157607085783786,126,0.015874636586721936,4,19
Luquatic,0.036257484050501894,49,0.0055736906891294,3,10
