colaborador,in_degree,out_degree,in_degree_weighted,out_degree_weighted,betweenness,closeness,pagerank
nullndr,2,0,4,0,0.0,0.050792618526848604,7.19833933300842e-05
xdmx,2,0,2,0,0.0,0.055241806645721925,7.194878182097407e-05
jharlan-hash,2,0,3,0,0.0,0.05094136277298775,7.190104658044689e-05
e0,3,0,3,0,0.0,0.06541914621151416,7.179136426155849e-05
d3vw,1,4,1,4,1.831453361604713e-05,0.0553132371597722,7.149133878062452e-05
mirzap,2,0,3,0,0.0,0.07030417868458337,7.132166462456817e-05
TheDeFreeze,1,0,1,0,0.0,0.055356949908333855,7.097290074089092e-05
andrepadez,2,0,6,0,0.0,0.0589479606979337,7.090701460080477e-05
wrex,2,0,3,0,0.0,0.06998094108143585,7.089002040862529e-05
thakur-abhijeet,2,0,3,0,0.0,0.07031771173149089,7.049191237554663e-05
drewhamlett,2,1,4,1,0.00014551821828852443,0.05077570280223657,7.045775456901497e-05
AFFLatusss,1,0,1,0,0.0,0.00036603221083455345,7.043541895353092e-05
HamzaHeikal2011,1,0,1,0,0.0,0.00036603221083455345,7.043541895353092e-05
l4loLX3,1,2,1,2,0.00016056630852427493,0.00036603221083455345,7.043541895353092e-05
dansdantas,1,0,1,0,0.0,0.00036603221083455345,7.043541895353092e-05
wpcarro,1,0,1,0,0.0,0.00036603221083455345,7.043541895353092e-05
leonhazen,1,0,5,0,0.0,0.0397324899331189,7.04235967624833e-05
ctarx,1,10,5,10,0.00040034354220535006,0.03968751862835386,7.04235967624833e-05
rockorager,1,0,5,0,0.0,0.0397324899331189,7.04235967624833e-05
alexperreault,1,12,5,16,0.0,0.039683198663334994,7.04235967624833e-05
amwilliams42,1,0,1,0,0.0,0.055298291317755856,7.029125750503036e-05
bdbch,1,0,1,0,0.0,0.055390525010628536,7.010381378970087e-05
arcbjorn,3,8,6,12,0.0007436277276713007,0.0702310818955998,7.00780351097603e-05
NoaHimesaka1873,2,2,2,2,0.00029188971497952544,0.06504362999465808,6.985803749092311e-05
remshams,2,0,2,0,0.0,0.07034479346140865,6.965552066973047e-05
tobi,2,0,2,0,0.0,0.07031771173149089,6.965552066973047e-05
guidovicino,2,0,6,0,0.0,0.0589574745715131,6.958247133646722e-05
AugustoRickes,3,0,3,0,0.0,0.07037189605954443,6.944927788593917e-05
ElFitaFlores,3,0,3,0,0.0,0.07031771173149089,6.910013935145125e-05
Zalmez,3,0,3,0,0.0,0.07010180626465076,6.892251994169395e-05
alexx-avdeev,2,0,3,0,0.0,0.05897651153456492,6.887562238593002e-05
matiacone,2,0,3,0,0.0,0.05897651153456492,6.887562238593002e-05
