colaborador,betweenness,degree,pagerank,grupo_comunidade,comunidades_conectadas
dhh,0.34794636325838185,53,0.13065083327044807,1,8
ryanrhughes,0.22257733064743823,25,0.045619817585998756,2,7
abenz1267,0.12703062431490783,10,0.022626580220343858,3,3
mghextreme,0.06041345659989728,5,0.010068525425085373,4,2
woopstar,0.054372416660552175,8,0.018407099985627114,3,3
