source,target,tipo_interacao,peso
PaideiaDilemma,diegopluna,comentario,2
ehutzelman,itsnumpty,comentario,2
Kn0ax,itsnumpty,comentario,2
mmaadd,itsnumpty,comentario,2
al3rez,dhh,comentario,2
Mohamedsayhii,denisgolius,comentario,2
klausmeyer,denisgolius,comentario,2
klausmeyer,denisgolius,comentario,2
crnvl96,c4software,comentario,2
dhh,BigMitchGit,comentario,2
dhh,BigMitchGit,comentario,2
dhh,henrysipp,comentario,2
dhh,henrysipp,comentario,2
dhh,henrysipp,comentario,2
dhh,henrysipp,comentario,2
dhh,henrysipp,comentario,2
dhh,henrysipp,comentario,2
dhh,prertik,comentario,2
dhh,prertik,comentario,2
dhh,martinstork,comentario,2
dhh,henrysipp,comentario,2
dhh,c4software,comentario,2
dhh,al3rez,comentario,2
dhh,martinmose,comentario,2
dhh,Arash-Afshar,comentario,2
Kn0ax,itsnumpty,comentario,2
mmaadd,itsnumpty,comentario,2
l0gicgate,diegopluna,comentario,2
dhh,taylorminton,comentario,2
dhh,al3rez,comentario,2
vaxerski,diegopluna,comentario,2
l0gicgate,diegopluna,comentario,2
dhh,brentdodell,comentario,2
alexeydemidovkz,ehutzelman,comentario,2
dhh,ThiaudioTT,comentario,2
