colaborador,betweenness,degree,pagerank,grupo_comunidade,comunidades_conectadas
dhh,0.4810594908997511,910,0.12829164340594232,1,36
ryanrhughes,0.3084844712087529,414,0.04234470846695776,2,36
abenz1267,0.05225762063424637,120,0.013894095369883773,4,18
dharmavagabond,0.048002743689869204,72,0.0049460668229017995,2,15
kromsam,0.04502469506165086,55,0.005386712443218093,4,15
