colaborador,in_degree,out_degree,in_degree_weighted,out_degree_weighted,betweenness,closeness,pagerank
Rnedlose,9,3,20,5,0.0007199649983149871,0.0559909750919018,0.0005651740314327424
illangpasandre-prog,15,0,19,0,0.0,0.057956176057825305,0.0005607349955378373
trevorputbrese,13,0,28,0,0.0,0.07577799891096572,0.0005603584224509693
DustinEwers,7,0,8,0,0.0,0.06446690820343895,0.0005553004906951501
bragmore,14,0,18,0,0.0,0.049931998400722204,0.0005547024682164127
amanat361,11,1,13,1,0.0016677591533324238,0.06337651759112034,0.0005433207005521076
iamobservable,3,11,7,20,0.0018901887417956766,0.05727756798879587,0.0005421577579181881
marcinczenko,8,1,26,1,0.004933218645603911,0.059242774038447195,0.0005421279205273125
Mayank-8127,10,0,15,0,0.0,0.06281164430155287,0.0005312445547406622
acrogenesis,14,2,25,3,0.0017456530883444654,0.05963708643985439,0.0005273762127505337
halilozercan,12,0,20,0,0.0,0.052463497619381225,0.0005260317427929456
renatovieiradesouza,4,1,8,1,0.0009008604641661242,0.05341107838233455,0.000521775582690766
Manujdixit,7,0,9,0,0.0,0.05947421694130875,0.0005212724621193886
jkc-2,6,1,10,3,0.000562754063334976,0.06942880911395823,0.0005212243508440782
maxdmayhew,11,0,12,0,0.0,0.05470951165316734,0.0005178264465790233
Furyfree,13,2,24,10,0.0011083071293300356,0.06183968728206501,0.0005157079779070568
pelephant2,12,4,34,6,0.00021423102368047672,0.060431962232193666,0.000511200617816618
GiraffeCoding,15,0,21,0,0.0,0.07120518863185572,0.0005105643104730719
grumpydumpty,6,0,6,0,0.0,0.0713175026631664,0.0005096766308353934
colutti,14,2,21,2,0.0010993620615837544,0.056180742843441885,0.0005024415061730648
al3rez,11,2,40,3,0.0009372233493773727,0.05441933084687303,0.0004980670535755234
eifr,7,0,32,0,0.0,0.04620598172113874,0.0004941472857147658
prgmatic,9,0,12,0,0.0,0.05649850897480271,0.0004928926220524952
havard-vold,4,0,5,0,0.0,0.06755430701733689,0.0004903005155884434
paucommit,4,0,11,0,0.0,0.042919682691786525,0.0004845053792124606
jandrusk,8,0,9,0,0.0,0.06060634180049132,0.0004829939294789958
ardavis,5,4,20,5,0.0003239323674218305,0.0568454327021863,0.0004761217187295659
yapus,11,0,13,0,0.0,0.07571936652530294,0.00047443193469936943
zaneschepke,13,2,27,3,0.002120753793440977,0.059327588317671896,0.00047382604519284003
jzetterman,8,1,35,1,0.0001910767915211508,0.05331659110954495,0.00047181828669714377
melonamin,9,2,29,3,0.0005288677351011949,0.05793823200264777,0.0004705222228411915
opswole,11,0,22,0,0.0,0.06001273739732515,0.0004656178143870501
MatthewHunt84,1,0,1,0,0.0,0.05585609985058218,0.00046347618554686665
Pintjebier,11,2,27,4,6.36051947474401e-05,0.05549348048853108,0.00046326416073857264
matheorism,13,3,25,6,0.0016523545355971493,0.05562459119448835,0.0004614920610375911
fpigeonjr,11,6,15,6,0.0020901693659634325,0.056874689229567774,0.00045787936850628426
helioascorreia,11,0,17,0,0.0,0.04373799570808907,0.0004574625356038257
guruswarupa,10,0,11,0,0.0,0.06845600912332844,0.00045496994583539633
f6198874,8,1,21,1,4.414665924115023e-05,0.06043065321165705,0.0004527742116281744
abenz1267,11,111,62,315,0.005437458731981726,0.0568454327021863,0.00045038037986114727
JaxonWright,10,11,35,17,0.0012725587348545613,0.05473378958546319,0.00044987498516905333
Reflux0301,10,1,11,1,0.00180586895085569,0.06329182197769197,0.0004478596195325793
merouaneamqor,3,0,4,0,0.0,0.057219030684224605,0.0004473584394922474
npenza,10,3,39,4,0.0014145253172657437,0.0631953037588926,0.00044511511843001
anshul12ra,8,0,24,0,0.0,0.0501508182787228,0.0004438300840942574
adaryorg,6,0,14,0,0.0,0.055029364704531125,0.00043832249415883505
d-cas,7,10,15,21,0.0017229938982977738,0.05747617259347271,0.0004355360994977967
gingerpickle99,4,0,4,0,0.0,0.06375223590608166,0.00043548731048260466
nicolaric,12,1,14,1,0.002215939019008084,0.0679906816077011,0.00043259836712818784
ablzh,10,2,11,3,0.00014220431325156138,0.07009752362962486,0.0004296297479226532
davidbasilefilho,8,0,11,0,0.0,0.0650278044416003,0.0004213350915050332
SatoriSec,12,1,22,5,0.0005420699822705138,0.05069152347387623,0.00041808642192680623
thrillho93,3,0,4,0,0.0,0.06758878577770881,0.00041541296101254064
Luxian,10,0,16,0,0.0,0.059822591255874885,0.00041428820753252677
nqst,8,0,17,0,0.0,0.05654746959467454,0.0004138379204082334
ashd90,9,1,11,1,1.9122115120292037e-05,0.0636054080185257,0.0004097747943776288
wintermeyer,7,0,12,0,0.0,0.05402736856754222,0.00040841849280771935
h14h,9,2,10,3,0.001265045750821593,0.057297366664215435,0.00040521118430023604
iagocc,4,0,4,0,0.0,0.06861463897382544,0.00040491510858761703
cammynixfr,7,0,14,0,0.0,0.06326828272220765,0.00040389520723889866
nemoralis,10,3,14,3,0.0011576404660869164,0.059626360345170965,0.00040264054976222723
jheuing,5,6,7,6,0.0013086851939225006,0.06859560594230303,0.0004015199963374097
fisika1729,10,17,16,34,0.0022284950565997276,0.06369309577697417,0.00040023110606662274
Salt-555,6,0,6,0,0.0,0.06057480634262022,0.000400055539904819
ocewers,8,2,10,2,0.004253534283186281,0.0696475973779728,0.00039680360457243534
nskrdev,6,1,7,1,0.0016400136618225773,0.05469766763226374,0.00039291109891465014
mfornasa,6,3,6,6,0.0015104183209964652,0.06245715213246996,0.0003908954712881716
HowieDuhzit,2,0,2,0,0.0,0.0677818026718009,0.00038916260901747477
jb0gie,4,1,6,1,1.6688614445066204e-05,0.06534277298281921,0.0003888127111232796
zigmoo,10,1,28,1,9.685911949744676e-05,0.0678432354435912,0.0003883963929072164
vyrx-dev,10,3,38,11,0.0005588664928107769,0.05381859797388807,0.00038642911910579146
tjcwilk,12,0,15,0,0.0,0.05494866333866168,0.0003845572056086218
DiegoRioboCabot,7,1,7,1,0.0015513220329033061,0.06135897899669639,0.0003804830698413141
minh-cong,5,0,9,0,0.0,0.06317346326514925,0.00037808286527065766
EhsanulHaqueSiam,7,0,14,0,0.0,0.06100086289020515,0.00037751928114605277
robzolkos,3,2,9,3,0.01260584873834665,0.06013469318323064,0.00037675369960351674
Kurizek27,8,0,9,0,0.0,0.05389482929668639,0.0003749925441856819
cluah,9,7,20,17,0.0014071977820241685,0.06266967174275058,0.00037278377183671673
Bekkenes,5,0,7,0,0.0,0.04754908812760389,0.0003659004278152142
w84death,4,0,5,0,0.0,0.06529561850186186,0.0003639474192918405
cakePhone,6,2,18,2,0.0010908159986506463,0.05700181628596124,0.00035770697329789584
aifrim,5,2,16,6,0.0017777314166228819,0.04885389972283385,0.0003557113159069687
diegopluna,6,1,13,1,0.0006643225896938817,0.05746620965837243,0.0003548010263432022
lfrostp,4,0,5,0,0.0,0.06326682832796796,0.0003540528413215691
HassanSattar3,3,0,7,0,0.0,0.052022243553280244,0.0003534398280678985
rafa-alves6,11,0,18,0,0.0,0.04990207318117129,0.00035255456749312686
syabro,8,6,24,6,0.001162480556647275,0.05322243755324298,0.00035228253676025775
rantnar,6,0,14,0,0.0,0.03979545603989274,0.00035168421987825504
ankur3-101106,4,0,7,0,0.0,0.053780584857587486,0.00034849551658297956
