colaborador,in_degree,out_degree,in_degree_weighted,out_degree_weighted,betweenness,closeness,pagerank
dhh,110,916,240,3564,0.12071072623465108,0.0841152321779628,0.007048775311747386
ryanrhughes,88,361,323,750,0.0590298485705555,0.07667093687694906,0.005006446671168666
kromsam,49,13,133,22,0.027036644833667377,0.0737560458490691,0.002926677232782008
mmsbrggr,21,2,39,3,0.00582305591051089,0.06223953015761889,0.002374641117190579
nik-securemeasure,34,5,64,6,0.012297330076747397,0.07714121123596589,0.002055034125723979
ghost,7,15,36,28,0.009569054419310103,0.06288338736614599,0.0019960789947057835
defaultdino,21,0,28,0,0.0,0.06868585841015828,0.001950582111242807
Luquatic,47,3,84,7,0.007289225507520962,0.06666489612934504,0.0018728374402647834
ColtonIdle,20,11,63,21,0.0123847917339029,0.07440302870739426,0.0015226662094881152
mir4zul,27,1,31,2,8.161999018191872e-06,0.07426071767082025,0.001404376754309104
jardahrazdera,13,24,72,50,0.006701737293843394,0.061195242738866895,0.0013957716477408484
itsnumpty,22,0,54,0,0.0,0.06743371767560981,0.0013773779606298707
nkasco,25,3,54,3,0.005163509330175995,0.0667380872321403,0.0013462449076961512
ddevault,29,0,34,0,0.0,0.07957385487455998,0.001221490592237827
shawnyeager,20,6,44,10,0.00980985064448665,0.0724376656849348,0.0012070875940552053
oxidebits,8,2,13,2,5.5834426876068945e-05,0.06253155770268613,0.0011951549263379889
Tatuck,22,1,32,1,0.00013093030549389653,0.07223044206475934,0.0011842787490622677
goomba27,22,0,25,0,0.0,0.05752433317020112,0.0011477512401174526
naxels,21,35,30,48,0.00817935845131614,0.06002693329882269,0.0011410273442855332
diwashpandey,3,0,5,0,0.0,0.060669590428655315,0.001139468905419267
sailoz,11,35,54,46,0.002460832873659299,0.05404914741014326,0.0011295598024838702
jondkinney,30,5,62,11,0.005555653094199181,0.06525740682119283,0.0011256205118524193
RodriMora,34,2,60,2,0.0058809567061683925,0.06271039317806855,0.0010926059116968627
nilszeilon,15,0,50,0,0.0,0.054846245424246015,0.0010674222086535466
Dynasty8614,12,0,17,0,0.0,0.06343753409710856,0.001043262457855952
g-hartmann-kanguro,4,1,4,1,7.887853118526437e-05,0.0689123551845722,0.0009370164904128849
sgruendel,12,23,38,31,0.005289838392620657,0.0655624027905171,0.0009063097877850237
Shankar-1212,23,1,33,1,0.00012966160098329676,0.06804738229331986,0.0008816362874338902
eclecticc,5,4,15,4,0.0019375761451337946,0.046711532623417866,0.0008815740814782347
paul-fornage,12,11,29,13,0.0013722319646042734,0.05325987831828953,0.0008635760341685395
brasilikum,2,1,3,1,5.250120784697044e-06,0.06288825993879775,0.0008615764484803962
tahayvr,12,9,106,17,0.0021235081729350704,0.05854312146446978,0.000844156394999548
Meetbuilds,3,0,3,0,0.0,0.05762424184186082,0.0008368329945670243
c4software,16,12,68,27,0.0017417886430767106,0.05776427727647239,0.0008264364187253043
