colaborador,betweenness,degree,pagerank,grupo_comunidade,comunidades_conectadas
dhh,0.47879007932325174,956,0.1274229514621612,1,42
ryanrhughes,0.3069196747804725,424,0.04056173358207865,2,34
abenz1267,0.053864418909170854,127,0.013849409648729995,4,18
dharmavagabond,0.04444348467239989,73,0.004735447533471398,2,18
naxels,0.04406046870839012,53,0.003745404255096672,14,17
