colaborador,betweenness,degree,pagerank,grupo_comunidade,comunidades_conectadas
dhh,0.9316712034383401,849,0.3735818298130425,1,2
ryanrhughes,0.37511322148535803,277,0.09918951925220963,2,2
davidbasilefilho,0.008819951443479617,2,0.0005940230543980329,2,2
coolaj86,0.008819951443479617,2,0.0005940230543980329,2,2
naxels,0.008819951443479617,2,0.0005940230543980329,2,2
